periodo,tipo_tarifa,consumo_m3,importe_agua
2026-T2,beneficencia,0,49.28
2026-T2,beneficencia,1,74.92
2026-T2,beneficencia,2,87.58
2026-T2,beneficencia,3,100.51
2026-T2,beneficencia,4,113.75
2026-T2,beneficencia,5,127.31
2026-T2,beneficencia,6,141.17
2026-T2,beneficencia,7,155.32
2026-T2,beneficencia,8,169.81
2026-T2,beneficencia,9,191.93
2026-T2,beneficencia,10,207.64
2026-T2,beneficencia,11,223.63
2026-T2,beneficencia,12,241.86
2026-T2,beneficencia,13,263.2
2026-T2,beneficencia,14,282.87
2026-T2,beneficencia,15,303.17
2026-T2,beneficencia,16,324.11
2026-T2,beneficencia,17,347.34
2026-T2,beneficencia,18,369.68
2026-T2,beneficencia,19,392.66
2026-T2,beneficencia,20,416.26
2026-T2,beneficencia,21,441.79
2026-T2,beneficencia,22,466.74
2026-T2,beneficencia,23,492.35
2026-T2,beneficencia,24,518.63
2026-T2,beneficencia,25,547.59
2026-T2,beneficencia,26,575.25
2026-T2,beneficencia,27,603.55
2026-T2,beneficencia,28,632.5
2026-T2,beneficencia,29,663.95
2026-T2,beneficencia,30,694.28
2026-T2,beneficencia,31,725.27
2026-T2,beneficencia,32,756.88
2026-T2,beneficencia,33,791.39
2026-T2,beneficencia,34,824.4
2026-T2,beneficencia,35,858.06
2026-T2,beneficencia,36,892.37
2026-T2,beneficencia,37,930.82
2026-T2,beneficencia,38,966.57
2026-T2,beneficencia,39,1002.97
2026-T2,beneficencia,40,1040.04
2026-T2,beneficencia,41,1080.76
2026-T2,beneficencia,42,1119.22
2026-T2,beneficencia,43,1158.32
2026-T2,beneficencia,44,1198.09
2026-T2,beneficencia,45,1242.01
2026-T2,beneficencia,46,1283.2
2026-T2,beneficencia,47,1320.4
2026-T2,beneficencia,48,1357.57
2026-T2,beneficencia,49,1399.94
2026-T2,beneficencia,50,1437.26
2026-T2,beneficencia,51,1474.58
2026-T2,beneficencia,52,1511.91
2026-T2,beneficencia,53,1553.52
2026-T2,beneficencia,54,1590.96
2026-T2,beneficencia,55,1628.38
2026-T2,beneficencia,56,1665.81
2026-T2,beneficencia,57,1707.94
2026-T2,beneficencia,58,1745.47
