id_toma,periodo,fecha_emision,fecha_vencimiento,fecha_pago,pagado,consumo_m3,importe_agua,importe_alcantarillado,importe_saneamiento,total_pagar,domiciliado,tipo_tarifa,pago_tardio,fecha_lectura,lectura_inicial,lectura_final,consumo_valido,consumo_atipico,consumo_acotado,lectura_inconsistente,tiene_fuga,privada,tipo_ocupante,fecha_alta,incluye_alcantarillado,incluye_saneamiento,periodo_fecha,anio,mes,dias_atraso
T62DB418771,2024-04,2024-04-23,2024-05-13,2024-05-13,True,25.5,452.5,45.25,54.3,552.05,False,publico,0.0,2024-04-20,987.0,1012.5,True,False,25.5,False,False,Los Fresnos,publico,2022-05-29,True,True,2024-04-01,2024,4,0.0
T516D296A99,2024-04,2024-04-29,2024-05-19,2024-05-12,True,7.5,124.25,12.43,14.91,151.59,False,domestico,0.0,2024-04-24,700.0,707.5,True,False,7.5,False,False,Sin privada,domestico,2023-09-27,True,True,2024-04-01,2024,4,-7.0
TF6199DECCB,2024-04,2024-04-29,2024-05-19,2024-05-17,True,42.7,906.3,90.63,108.76,1105.69,True,comercial,0.0,2024-04-24,933.0,975.7,True,False,42.7,False,False,La Cañada,comercial,2021-07-12,True,True,2024-04-01,2024,4,-2.0
TBFDD3649BD,2024-04,2024-04-27,2024-05-17,2024-05-15,True,16.9,232.35,23.23,27.88,283.47,True,domestico,0.0,2024-04-22,1247.0,1263.9,True,False,16.9,False,False,Villa Serena,domestico,2022-09-02,True,True,2024-04-01,2024,4,-2.0
T1A8F7C05C9,2024-04,2024-04-24,2024-05-14,2024-05-11,True,8.6,136.9,13.69,0.0,150.59,False,domestico,0.0,2024-04-22,1202.0,1210.6,True,False,8.6,False,False,Villa Serena,domestico,2021-08-19,True,False,2024-04-01,2024,4,-3.0
T6B4FC6C7C6,2024-04,2024-04-28,2024-05-18,2024-05-06,True,22.5,407.5,40.75,48.9,497.15,False,publico,0.0,2024-04-25,596.0,618.5,True,False,22.5,False,False,Sin privada,publico,2021-10-28,True,True,2024-04-01,2024,4,-12.0
T6EE7490E19,2024-04,2024-04-27,2024-05-17,2024-04-29,True,16.2,224.3,22.43,26.92,273.65,False,domestico,0.0,2024-04-23,1346.0,1362.2,True,False,16.2,False,False,Los Fresnos,domestico,2020-03-31,True,True,2024-04-01,2024,4,-18.0
T771EC6B537,2024-04,2024-04-23,2024-05-13,2024-05-06,True,5.0,95.5,9.55,11.46,116.51,False,domestico,0.0,2024-04-21,878.0,883.0,True,False,5.0,False,False,Los Fresnos,domestico,2019-06-26,True,True,2024-04-01,2024,4,-7.0
TA87CD37475,2024-04,2024-04-26,2024-05-16,2024-05-08,True,32.1,407.15,40.72,48.86,496.72,False,domestico,0.0,2024-04-22,241.0,273.1,True,False,32.1,False,False,La Cañada,domestico,2019-08-02,True,True,2024-04-01,2024,4,-8.0
T00048F12E2,2024-04,2024-04-24,2024-05-14,2024-05-13,True,12.7,184.05,18.4,22.09,224.54,False,domestico,0.0,2024-04-22,110.0,122.7,True,False,12.7,False,False,Santa Teresa,domestico,2023-02-20,True,True,2024-04-01,2024,4,-1.0
TDE3B85E449,2024-04,2024-04-29,2024-05-19,2024-05-14,True,22.1,292.15,29.21,35.06,356.42,False,domestico,0.0,2024-04-25,943.0,965.1,True,False,22.1,False,False,Sin privada,domestico,2020-07-17,True,True,2024-04-01,2024,4,-5.0
