id_toma,periodo,fecha_lectura,lectura_inicial,lectura_final,consumo_m3,medidor_mudo,tiene_fuga
T62DB418771,2024-04,2024-04-20,987.0,1012.5,25.5,False,False
T516D296A99,2024-04,2024-04-24,700.0,707.5,7.5,False,False
TF6199DECCB,2024-04,2024-04-24,933.0,975.7,42.7,False,False
TBFDD3649BD,2024-04,2024-04-22,1247.0,1263.9,16.9,False,False
T1A8F7C05C9,2024-04,2024-04-22,1202.0,1210.6,8.6,False,False
T6B4FC6C7C6,2024-04,2024-04-25,596.0,618.5,22.5,False,False
T6EE7490E19,2024-04,2024-04-23,1346.0,1362.2,16.2,False,False
T771EC6B537,2024-04,2024-04-21,878.0,883.0,5.0,False,False
TA87CD37475,2024-04,2024-04-22,241.0,273.1,32.1,False,False
T00048F12E2,2024-04,2024-04-22,110.0,122.7,12.7,False,False
TDE3B85E449,2024-04,2024-04-25,943.0,965.1,22.1,False,False
TDFD5EF1E2B,2024-04,2024-04-25,550.0,565.4,15.4,False,False
T6BE1C12D07,2024-04,2024-04-23,1047.0,1229.2,182.2,False,False
TE17C7596F7,2024-04,2024-04-24,141.0,161.5,20.5,False,False
TF0590D064A,2024-04,2024-04-22,438.0,456.6,18.6,False,False
T0201C8273D,2024-04,2024-04-23,354.0,367.2,13.2,False,False
T416D725964,2024-04,2024-04-23,1080.0,1095.2,15.2,False,False
T592985E849,2024-04,2024-04-23,181.0,213.0,32.0,False,False
T8CFD079CB6,2024-04,2024-04-22,1467.0,1483.3,16.3,False,False
TD10A6EDCA0,2024-04,2024-04-21,743.0,771.8,28.8,False,False
T0CE7987E4B,2024-04,2024-04-24,245.0,316.5,71.5,False,False
T0F12629295,2024-04,2024-04-20,370.0,373.4,3.4,False,False
T7833B36159,2024-04,2024-04-20,549.0,564.4,15.4,False,False
T997FF51E88,2024-04,2024-04-22,760.0,772.7,12.7,False,False
TB0AFAFC426,2024-04,2024-04-22,1492.0,1547.1,55.1,False,False
T4B2228F178,2024-04,2024-04-25,504.0,521.9,17.9,False,False
T5D1D63651A,2024-04,2024-04-25,256.0,273.9,17.9,False,False
T005A9CE174,2024-04,2024-04-20,1241.0,1255.0,14.0,False,False
T0E572DDC2C,2024-04,2024-04-21,984.0,996.3,12.3,False,False
T6B4C3EB33E,2024-04,2024-04-25,1300.0,1304.5,4.5,False,False
T98621FD0F2,2024-04,2024-04-22,787.0,787.0,0.0,True,False
TCED7759D69,2024-04,2024-04-21,1181.0,1199.2,18.2,False,False
T148BA00559,2024-04,2024-04-24,1044.0,1071.8,27.8,False,False
T8EF8382AF5,2024-04,2024-04-20,1452.0,1464.9,12.9,False,False
T294140BCEC,2024-04,2024-04-24,195.0,224.4,29.4,False,False
T2B4ECE5F7A,2024-04,2024-04-21,202.0,228.5,26.5,False,False
TFCDB644B38,2024-04,2024-04-24,227.0,250.3,23.3,False,False
TF46C85CB55,2024-04,2024-04-25,612.0,81.57890309049104,6.4,False,False
T635E7348B0,2024-04,2024-04-24,204.0,232.3,28.3,False,False
TD950C1321E,2024-04,2024-04-21,262.0,280.5,18.5,False,False
T79F7CA1313,2024-04,2024-04-24,211.0,219.1,8.1,False,False
T1890D0D69D,2024-04,2024-04-21,741.0,757.2,16.2,False,False
T92ED6C6BBC,2024-04,2024-04-21,419.0,427.0,8.0,False,False
T1A234D637E,2024-04,2024-04-24,1085.0,1101.7,16.7,False,False
T0FA07C2AE6,2024-04,2024-04-23,314.0,322.5,8.5,False,False
T85D9327E38,2024-04,2024-04-20,1270.0,1283.5,13.5,False,False
T9B2220E701,2024-04,2024-04-22,884.0,910.8,26.8,False,False
T75AE25B236,2024-04,2024-04-20,798.0,810.0,12.0,False,False
T85C4B9E9BD,2024-04,2024-04-24,1135.0,1141.5,6.5,False,False
TAAC46C752C,2024-04,2024-04-21,1482.0,1488.0,6.0,False,False
TB5ABA37301,2024-04,2024-04-20,773.0,791.6,18.6,False,False
TDB1931905E,2024-04,2024-04-24,920.0,932.4,12.4,False,False
T8A79BCF725,2024-04,2024-04-21,1256.0,1263.8,7.8,False,False
T1383BC162C,2024-04,2024-04-22,1481.0,1495.0,14.0,False,False
TE3F34F661C,2024-04,2024-04-22,721.0,782.6,61.6,False,False
T945DF5CC73,2024-04,2024-04-20,1018.0,1025.5,7.5,False,False
T89289351AD,2024-04,2024-04-21,1084.0,1084.0,0.0,True,False
T3C6A8E589D,2024-04,2024-04-25,83.0,111.2,28.2,False,False
T9EDB41553F,2024-04,2024-04-24,178.0,187.0,9.0,False,False
T39FECD2D40,2024-04,2024-04-21,645.0,663.9,18.9,False,False
T393F331539,2024-04,2024-04-22,327.0,339.2,12.2,False,False
T44E572D176,2024-04,2024-04-25,288.0,308.6,20.6,False,False
T6A0C9518A5,2024-04,2024-04-23,1159.0,1176.5,17.5,False,False
T6F6C091F32,2024-04,2024-04-24,1287.0,1300.8,13.8,False,False
T0A7DFC3903,2024-04,2024-04-23,1295.0,1318.1,23.1,False,False
T4CA807AAAE,2024-04,2024-04-20,165.0,203.2,38.2,False,False
T292B036CC6,2024-04,2024-04-25,792.0,810.3,18.3,False,False
TF252236170,2024-04,2024-04-21,2.0,26.2,24.2,False,False
T47A88C447A,2024-04,2024-04-23,653.0,661.1,8.1,False,False
T29274E7656,2024-04,2024-04-22,241.0,241.0,0.0,True,False
TF94B3B4CEA,2024-04,2024-04-22,469.0,485.7,16.7,False,False
TD79C86593F,2024-04,2024-04-23,878.0,900.4,22.4,False,False
T042B2178D1,2024-04,2024-04-22,58.0,79.9,21.9,False,False
TE9E2B18053,2024-04,2024-04-25,272.0,323.3,51.3,False,False
T80D9A080BE,2024-04,2024-04-25,1315.0,1356.5,41.5,False,False
T580C1D0E5A,2024-04,2024-04-22,440.0,498.3,58.3,False,False
T262047037E,2024-04,2024-04-20,458.0,475.7,17.7,False,False
T997FBB56CB,2024-04,2024-04-20,1376.0,1393.1,17.1,False,False
T488907BADA,2024-04,2024-04-24,144.0,166.5,22.5,False,False
T959B664297,2024-04,2024-04-20,35.0,48.9,13.9,False,False
TCE4FA87780,2024-04,2024-04-22,1212.0,1223.5,11.5,False,False
