id_toma,periodo,fecha_emision,fecha_vencimiento,fecha_pago,pagado,consumo_m3,importe_agua,importe_alcantarillado,importe_saneamiento,total_pagar,domiciliado,tipo_tarifa,pago_tardio
T62DB418771,2024-04,2024-04-23,2024-05-13,2024-05-13,True,25.5,452.5,45.25,54.3,552.05,False,publico,False
T516D296A99,2024-04,2024-04-29,2024-05-19,2024-05-12,True,7.5,124.25,12.43,14.91,151.59,False,domestico,False
TF6199DECCB,2024-04,2024-04-29,2024-05-19,2024-05-17,True,42.7,906.3,90.63,108.76,1105.69,True,comercial,False
TBFDD3649BD,2024-04,2024-04-27,2024-05-17,2024-05-15,True,16.9,232.35,23.23,27.88,283.47,True,domestico,False
T1A8F7C05C9,2024-04,2024-04-24,2024-05-14,2024-05-11,True,8.6,136.9,13.69,0.0,150.59,False,domestico,False
T6B4FC6C7C6,2024-04,2024-04-28,2024-05-18,2024-05-06,True,22.5,407.5,40.75,48.9,497.15,False,publico,False
T6EE7490E19,2024-04,2024-04-27,2024-05-17,2024-04-29,True,16.2,224.3,22.43,26.92,273.65,False,domestico,False
T771EC6B537,2024-04,2024-04-23,2024-05-13,2024-05-06,True,5.0,95.5,9.55,11.46,116.51,False,domestico,False
TA87CD37475,2024-04,2024-04-26,2024-05-16,2024-05-08,True,32.1,407.15,40.72,48.86,496.72,False,domestico,False
T00048F12E2,2024-04,2024-04-24,2024-05-14,2024-05-13,True,12.7,184.05,18.4,22.09,224.54,False,domestico,False
TDE3B85E449,2024-04,2024-04-29,2024-05-19,2024-05-14,True,22.1,292.15,29.21,35.06,356.42,False,domestico,False
TDFD5EF1E2B,2024-04,2024-04-30,2024-05-20,2024-05-01,True,15.4,215.1,21.51,25.81,262.42,False,domestico,False
T6BE1C12D07,2024-04,2024-04-25,2024-05-15,2024-07-01,True,182.2,4997.2,499.72,599.66,6096.58,False,industrial,True
TE17C7596F7,2024-04,2024-04-29,2024-05-19,2024-05-04,True,20.5,273.75,27.38,32.85,333.98,False,domestico,False
TF0590D064A,2024-04,2024-04-26,2024-05-16,2024-05-11,True,18.6,251.9,25.19,30.23,307.32,False,domestico,False
T0201C8273D,2024-04,2024-04-25,2024-05-15,2024-07-11,True,13.2,189.8,0.0,22.78,212.58,False,domestico,True
T416D725964,2024-04,2024-04-28,2024-05-18,2024-04-28,True,15.2,212.8,21.28,25.54,259.62,False,domestico,False
