id_toma,marca_tiempo,volumen_m3,tiene_fuga
TE7D390D6E1,2026-05-05 00:00:00,0.00155,False
TE7D390D6E1,2026-05-05 01:00:00,0.00141,False
TE7D390D6E1,2026-05-05 02:00:00,0.00215,False
TE7D390D6E1,2026-05-05 03:00:00,0.00162,False
TE7D390D6E1,2026-05-05 04:00:00,0.00291,False
TE7D390D6E1,2026-05-05 05:00:00,0.01097,False
TE7D390D6E1,2026-05-05 06:00:00,0.025,False
TE7D390D6E1,2026-05-05 07:00:00,0.05655,False
TE7D390D6E1,2026-05-05 08:00:00,0.04477,False
TE7D390D6E1,2026-05-05 09:00:00,0.0403,False
TE7D390D6E1,2026-05-05 10:00:00,0.05126,False
TE7D390D6E1,2026-05-05 11:00:00,0.05298,False
TE7D390D6E1,2026-05-05 12:00:00,0.06406,False
TE7D390D6E1,2026-05-05 13:00:00,0.07362,False
TE7D390D6E1,2026-05-05 14:00:00,0.05389,False
TE7D390D6E1,2026-05-05 15:00:00,0.05276,False
TE7D390D6E1,2026-05-05 16:00:00,0.05045,False
TE7D390D6E1,2026-05-05 17:00:00,0.0413,False
TE7D390D6E1,2026-05-05 18:00:00,0.05511,False
TE7D390D6E1,2026-05-05 19:00:00,0.04059,False
TE7D390D6E1,2026-05-05 20:00:00,0.03735,False
TE7D390D6E1,2026-05-05 21:00:00,0.021,False
TE7D390D6E1,2026-05-05 22:00:00,0.01998,False
TE7D390D6E1,2026-05-05 23:00:00,0.01379,False
TE7D390D6E1,2026-05-06 00:00:00,0.0022,False
TE7D390D6E1,2026-05-06 01:00:00,0.00193,False
TE7D390D6E1,2026-05-06 02:00:00,0.00149,False
TE7D390D6E1,2026-05-06 03:00:00,0.0018,False
TE7D390D6E1,2026-05-06 04:00:00,0.00472,False
TE7D390D6E1,2026-05-06 05:00:00,0.01395,False
TE7D390D6E1,2026-05-06 06:00:00,0.03239,False
TE7D390D6E1,2026-05-06 07:00:00,0.04313,False
TE7D390D6E1,2026-05-06 08:00:00,0.08826,False
TE7D390D6E1,2026-05-06 09:00:00,0.05655,False
TE7D390D6E1,2026-05-06 10:00:00,0.04356,False
TE7D390D6E1,2026-05-06 11:00:00,0.04541,False
TE7D390D6E1,2026-05-06 12:00:00,0.05577,False
TE7D390D6E1,2026-05-06 13:00:00,0.05485,False
TE7D390D6E1,2026-05-06 14:00:00,0.06382,False
TE7D390D6E1,2026-05-06 15:00:00,0.05361,False
TE7D390D6E1,2026-05-06 16:00:00,0.07847,False
TE7D390D6E1,2026-05-06 17:00:00,0.04763,False
TE7D390D6E1,2026-05-06 18:00:00,0.03711,False
TE7D390D6E1,2026-05-06 19:00:00,0.03977,False
TE7D390D6E1,2026-05-06 20:00:00,0.03896,False
TE7D390D6E1,2026-05-06 21:00:00,0.02843,False
TE7D390D6E1,2026-05-06 22:00:00,0.01203,False
TE7D390D6E1,2026-05-06 23:00:00,0.00985,False
TE7D390D6E1,2026-05-07 00:00:00,0.00114,False
TE7D390D6E1,2026-05-07 01:00:00,0.00216,False
TE7D390D6E1,2026-05-07 02:00:00,0.00137,False
TE7D390D6E1,2026-05-07 03:00:00,0.00225,False
TE7D390D6E1,2026-05-07 04:00:00,0.00654,False
TE7D390D6E1,2026-05-07 05:00:00,0.01024,False
TE7D390D6E1,2026-05-07 06:00:00,0.02639,False
TE7D390D6E1,2026-05-07 07:00:00,0.04785,False
TE7D390D6E1,2026-05-07 08:00:00,0.06942,False
TE7D390D6E1,2026-05-07 09:00:00,0.04194,False
TE7D390D6E1,2026-05-07 10:00:00,0.03526,False
TE7D390D6E1,2026-05-07 11:00:00,0.03501,False
TE7D390D6E1,2026-05-07 12:00:00,0.05088,False
TE7D390D6E1,2026-05-07 13:00:00,0.04519,False
TE7D390D6E1,2026-05-07 14:00:00,0.03414,False
TE7D390D6E1,2026-05-07 15:00:00,0.08915,False
TE7D390D6E1,2026-05-07 16:00:00,0.07384,False
TE7D390D6E1,2026-05-07 17:00:00,0.03442,False
TE7D390D6E1,2026-05-07 18:00:00,0.04005,False
TE7D390D6E1,2026-05-07 19:00:00,0.06163,False
TE7D390D6E1,2026-05-07 20:00:00,0.03094,False
TE7D390D6E1,2026-05-07 21:00:00,0.03329,False
TE7D390D6E1,2026-05-07 22:00:00,0.01718,False
TE7D390D6E1,2026-05-07 23:00:00,0.00934,False
TE7D390D6E1,2026-05-08 00:00:00,0.00123,False
TE7D390D6E1,2026-05-08 01:00:00,0.00147,False
TE7D390D6E1,2026-05-08 02:00:00,0.00134,False
TE7D390D6E1,2026-05-08 03:00:00,0.00138,False
TE7D390D6E1,2026-05-08 04:00:00,0.00393,False
TE7D390D6E1,2026-05-08 05:00:00,0.00562,False
TE7D390D6E1,2026-05-08 06:00:00,0.02281,False
TE7D390D6E1,2026-05-08 07:00:00,0.03104,False
TE7D390D6E1,2026-05-08 08:00:00,0.05694,False
TE7D390D6E1,2026-05-08 09:00:00,0.03579,False
TE7D390D6E1,2026-05-08 10:00:00,0.03753,False
TE7D390D6E1,2026-05-08 11:00:00,0.04255,False
TE7D390D6E1,2026-05-08 12:00:00,0.03451,False
TE7D390D6E1,2026-05-08 13:00:00,0.03124,False
TE7D390D6E1,2026-05-08 14:00:00,0.05017,False
TE7D390D6E1,2026-05-08 15:00:00,0.04584,False
TE7D390D6E1,2026-05-08 16:00:00,0.03942,False
TE7D390D6E1,2026-05-08 17:00:00,0.03323,False
TE7D390D6E1,2026-05-08 18:00:00,0.03656,False
TE7D390D6E1,2026-05-08 19:00:00,0.04768,False
TE7D390D6E1,2026-05-08 20:00:00,0.03003,False
TE7D390D6E1,2026-05-08 21:00:00,0.0343,False
TE7D390D6E1,2026-05-08 22:00:00,0.01966,False
TE7D390D6E1,2026-05-08 23:00:00,0.0105,False
TE7D390D6E1,2026-05-09 00:00:00,0.00157,False
TE7D390D6E1,2026-05-09 01:00:00,0.00181,False
TE7D390D6E1,2026-05-09 02:00:00,0.00189,False
TE7D390D6E1,2026-05-09 03:00:00,0.00371,False
TE7D390D6E1,2026-05-09 04:00:00,0.00583,False
TE7D390D6E1,2026-05-09 05:00:00,0.0094,False
TE7D390D6E1,2026-05-09 06:00:00,0.03713,False
TE7D390D6E1,2026-05-09 07:00:00,0.05576,False
TE7D390D6E1,2026-05-09 08:00:00,0.04784,False
TE7D390D6E1,2026-05-09 09:00:00,0.04338,False
TE7D390D6E1,2026-05-09 10:00:00,0.0408,False
TE7D390D6E1,2026-05-09 11:00:00,0.0553,False
TE7D390D6E1,2026-05-09 12:00:00,0.05518,False
TE7D390D6E1,2026-05-09 13:00:00,0.04582,False
TE7D390D6E1,2026-05-09 14:00:00,0.05762,False
TE7D390D6E1,2026-05-09 15:00:00,0.05319,False
TE7D390D6E1,2026-05-09 16:00:00,0.04054,False
TE7D390D6E1,2026-05-09 17:00:00,0.04449,False
TE7D390D6E1,2026-05-09 18:00:00,0.06528,False
TE7D390D6E1,2026-05-09 19:00:00,0.04662,False
TE7D390D6E1,2026-05-09 20:00:00,0.03096,False
TE7D390D6E1,2026-05-09 21:00:00,0.03596,False
TE7D390D6E1,2026-05-09 22:00:00,0.01628,False
TE7D390D6E1,2026-05-09 23:00:00,0.01218,False
TE7D390D6E1,2026-05-10 00:00:00,0.00195,False
TE7D390D6E1,2026-05-10 01:00:00,0.00213,False
TE7D390D6E1,2026-05-10 02:00:00,0.00169,False
TE7D390D6E1,2026-05-10 03:00:00,0.00291,False
TE7D390D6E1,2026-05-10 04:00:00,0.00567,False
TE7D390D6E1,2026-05-10 05:00:00,0.01135,False
TE7D390D6E1,2026-05-10 06:00:00,0.03516,False
TE7D390D6E1,2026-05-10 07:00:00,0.05279,False
TE7D390D6E1,2026-05-10 08:00:00,0.03577,False
TE7D390D6E1,2026-05-10 09:00:00,0.08111,False
TE7D390D6E1,2026-05-10 10:00:00,0.06087,False
TE7D390D6E1,2026-05-10 11:00:00,0.05656,False
TE7D390D6E1,2026-05-10 12:00:00,0.05289,False
TE7D390D6E1,2026-05-10 13:00:00,0.04185,False
TE7D390D6E1,2026-05-10 14:00:00,0.06364,False
TE7D390D6E1,2026-05-10 15:00:00,0.06527,False
TE7D390D6E1,2026-05-10 16:00:00,0.05644,False
TE7D390D6E1,2026-05-10 17:00:00,0.04421,False
TE7D390D6E1,2026-05-10 18:00:00,0.04678,False
